,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.69,,4.90,,4.13,,3.53,,3.25,,1.47,,2.25,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,5.39,,6.42,,3.92,,4.71,,4.94,,8.91,,8.83,,9.73,,2.52,,2.93,,6.52,,3.85,,3.54,,3.22,,1.29,,0.98,,3.67,
Mexico,26.65,,22.66,,15.51,,9.75,,6.97,,35.00,,34.38,,20.63,,15.93,,16.59,,9.49,,6.37,,5.03,,4.55,,4.69,,3.99,,3.63,,3.97,,5.12,,5.30,,4.16,,3.41,,4.11,,3.81,,4.02,,2.72,,2.82,,6.04,
"Micronesia, Federated States of",,,,,,,,,,,,,,,,,,,,,2.16,,0.50,,-0.11,,0.13,,2.28,,4.26,,4.64,,3.31,,8.42,,6.39,,3.31,,5.08,,5.02,,1.75,,0.65,,-0.30,,-1.04,,0.52,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64,,27.97,,7.59,,10.08,,8.41,,14.32,,10.49,,12.23,,6.58,,1.06,,4.05,
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,3.98,,1.16,,3.10,,2.67,,1.93,,2.71,,4.90,,2.79,,2.09,,3.67,,4.77,,0.87,,-0.38,,-1.15,,-0.23,,1.18,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.71,,0.97,,0.99,,0.91,,1.29,,1.88,,0.44,,1.56,,1.64,,0.75,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.43,,13.25,,,,7.44,,3.79,,12.43,,11.17,,2.60,,4.26,,2.56,,3.55,,17.42,,15.11,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,,1.47,,5.48,,5.05,,9.49,,6.96,,4.57,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01,,6.72,,5.60,,5.35,,3.40,,6.73,,6.14,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,,9.91,,11.09,,9.33,,9.23,,9.46,,9.04,,8.36,,7.87,,8.79,,3.63,
Netherlands,2.45,,3.16,,3.18,,2.58,,2.80,,1.92,,2.11,,2.11,,1.96,,2.16,,2.36,,4.16,,3.29,,2.09,,1.26,,1.69,,1.10,,1.61,,2.49,,1.19,,1.28,,2.34,,2.46,,2.51,,0.98,,0.60,,0.32,,1.38,
New Zealand,6.10,,2.60,,1.01,,1.29,,1.75,,3.75,,2.29,,1.19,,1.27,,-0.11,,2.62,,2.63,,2.68,,1.75,,2.29,,3.04,,3.37,,2.38,,3.96,,2.12,,2.30,,4.03,,1.06,,1.13,,1.23,,0.29,,0.65,,1.85,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.14,,11.13,,19.83,,3.69,,5.46,,8.08,,7.19,,7.14,,6.04,,4.00,,3.52,,3.85,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,,0.46,,2.30,,-0.93,,-0.58,,1.65,,2.80,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.84,,12.22,,8.48,,8.06,,9.01,,15.68,,16.52,
"North Macedonia, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,0.86,,-0.45,,0.53,,3.21,,2.25,,8.33,,-0.74,,1.51,,3.90,,3.32,,2.78,,-0.28,,-0.30,,-0.24,,1.35,
